ISN,Downloadable,Title,Author/Org,Document,Published,Pages,Maps,Map Types,Subjects,Areas,NTS,Licence,Coverage,Notes,Ordering,Long/Lat,Source,,Degree
468,Yes,Coal Mine Dust and Silicosis,"Flynn, A E, Nova Scotia Department of Mines and Energy",Open File Report ME 162,1943,8 page(s),0 map(s),,coal; environmental geology; fossil fuels; Pennsylvanian; quartz,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
469,Yes,Notes on Low Temperature Carbonization,"Mozdyniewicz, Z, Nova Scotia Department of Mines and Energy ",Open File Report ME 161,1951,6 page(s),0 map(s),,coal carbonization; fossil fuels,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
470,Yes,"Low Temperature Carbonization Tests, Miscellaneous Memos, Work and Data Sheets","Cameron, E L, Nova Scotia Department of Mines and Energy ;Cole, E J, Nova Scotia Department of Mines and Energy ;Donkin, R P, Nova Scotia Department of Mines and Energy ;Hill, C, Nova Scotia Department of Mines and Energy;Stonehouse, D H, Nova Scotia Department of Mines and Energy ;Walsh, D C, Nova Scotia Department of Mines and Energy ",Open File Report ME 160,1951,116 page(s),0 map(s),,chemical analyses; coal; coal analyses; coal carbonization; coke; fossil fuels; geochemistry; milling methods; photographs; proximate analyses; screen analyses,Cape Breton County; Cape Breton Island; Cumberland County; Digby County; Dominion; Inverness; Inverness Coalfield; Inverness County; Springhill; Springhill Coalfield; Sydney; Sydney Coalfield,11K/01D; 11K/03C; 21H/09D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
471,Yes,Memorandum on Underground Gasification of Coal,"Cameron, A E, Nova Scotia Department of Mines and Energy",Open File Report ME 159,1946,1 page(s),0 map(s),,coal; coal gasification; coal seams; fossil fuels; Pennsylvanian,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
472,Yes,Explosions in Nova Scotia Coal Mines,Anonymous;Nova Scotia Department of Mines and Energy,Open File Report ME 158,1932,15 page(s),0 map(s),,coal; economic geology; fossil fuels; mines; mining history; Pennsylvanian,Caledonia Mines; Cape Breton County; Cape Breton Island; Cumberland County; Dominion; Inverness County; New Waterford; Pictou; Pictou Coalfield; Pictou County; Port Hood; Port Hood Coalfield; Springhill; Springhill Coalfield; Sydney Coalfield; Sydney Mines,11E/10D; 11J/04C; 11K/01D; 11K/04A; 11K/08A; 21H/09D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
473,Yes,Explosions in Nova Scotia Coal Mines,"Gilpin, E, Nova Scotia Department of Mines and Energy",Open File Report ME 157,1894,12 page(s),0 map(s),,coal; economic geology; fossil fuels; mines; mining history; Pennsylvanian,Cape Breton County; Cumberland County; Pictou; Pictou Coalfield; Pictou County; Springhill; Springhill Coalfield,11E/10; 21H/09,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
474,Yes,Provincial Expenditures and Coal Subsidy Statistics,"Nowlan, J P, Nova Scotia Department of Mines and Energy",Open File Report ME 156,1969,47 page(s),0 map(s),,coal; economic geology; fossil fuels; production,Bras d'Or; Cape Breton County; Cape Breton Island; Cumberland County; River Hebert; Springhill; Springhill Coalfield; Sydney Coalfield,11K/08B; 21H/09C; 21H/09D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
475,No,Brief Notes on Mines in Nova Scotia Coalfields,Anonymous;Nova Scotia Department of Mines and Energy,Open File Report ME 155,1963,23 page(s),0 map(s),,coal; coal fields; coal seams; economic geology; fossil fuels; mines; mining history; Pennsylvanian,Cape Breton County; Cape Breton Island; Glace Bay; McLellans Brook; New Glasgow; New Waterford; North Sydney; Pictou Coalfield; Pictou County; Stellarton; Sydney; Sydney Coalfield; Sydney Mines; Thorburn; Westville,11E/10A; 11J/04C; 11K/01,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
476,Yes,Memorandum on Stoker Operation Survey,"Baltzer, C E, Nova Scotia Department of Mines and Energy ",Open File Report ME 154,1947,9 page(s),0 map(s),,coal; fossil fuels,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
477,Yes,Domestic Stoker Operation,"Flynn, A E, Nova Scotia Department of Mines and Energy",Open File Report ME 153,1945,5 page(s),0 map(s),,coal; coal tests; fossil fuels,Halifax; Halifax County,11D/12D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
478,Yes,"Second Progress Report, Fuel Research","Donkin, R P, Nova Scotia Department of Mines and Energy ;Ripley, H A, Nova Scotia Department of Mines and Energy ",Open File Report ME 152,1943,2 page(s),0 map(s),,coal tests; fossil fuels; Pennsylvanian,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
479,Yes,"Memoranda on Mining Equipment at Port Hood, Inverness County, Nova Scotia","Murray, D A, Nova Scotia Department of Mines and Energy",Open File Report ME 151,1960,7 page(s),0 map(s),,coal; fossil fuels; mines; Pennsylvanian,Cape Breton Island; Inverness County; Port Hood; Port Hood Coalfield,11K/04A,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
480,Yes,"Memoranda and Financial Statements on Buildings and Equipment at Inverness, Inverness County, Nova Scotia","MacRae, L, Nova Scotia Department of Mines and Energy ",Open File Report ME 150,1957,20 page(s),0 map(s),,coal; fossil fuels; Pennsylvanian; photographs,Cape Breton Island; Inverness; Inverness Coalfield; Inverness County,11K/03C,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
481,Yes,Brief Summary of the Coal Mining Industry-past and Present,"Murray, D A, Nova Scotia Department of Mines and Energy",Open File Report ME 149,1963,3 page(s),0 map(s),,coal; economic geology; fossil fuels; mining history; Pennsylvanian,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
482,Yes,Measures Suggested for Stabilization of Coal Mining Industry of Nova Scotia,Anonymous;Nova Scotia Department of Mines and Energy,Open File Report ME 148,1936,9 page(s),0 map(s),,coal; economic geology; fossil fuels; Pennsylvanian; production,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
483,Yes,Coal Shipping Pier,"Donkin, H, Nova Scotia Department of Mines and Energy ",Open File Report ME 147,1907,3 page(s),0 map(s),,coal; fossil fuels,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
484,No,"Exploration, Engineering and Economic Feasibility Study, Cape Breton Open Cast Coal Mining, Nova Scotia",Henry J Kaiser Company Canada Limited;Nova Scotia Department of Mines and Energy,Open File Report ME 146,1972,64 page(s),1 map(s),"planimetric, scale: N/A",coal; economic geology; fossil fuels; open pit mining; ore reserves; Pennsylvanian; production,Cape Breton County; Cape Breton Island; Glace Bay; Sydney Coalfield,11J/04C; 11K/01D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
485,No,"General Order of Magnitude Coal Estimate for Strip Mining the Gardiner, Emery, Spencer, Tracy and McDonald Lake Seams along the Outcrop, Glace Bay, Nova Scotia","Alexander, G T, Montreal Engineering Company Limited;Nova Scotia Department of Mines and Energy",Open File Report ME 145,1970,18 page(s),0 map(s),,coal; coal seams; economic geology; Emery Seam; fossil fuels; Gardiner Seam; McDonald Lake Seam; ore reserves; Pennsylvanian; Spencer Seam; strip mining; Tracy Seam,Cape Breton County; Cape Breton Island; Glace Bay; Sydney Coalfield,11J/04C; 11K/01A; 11K/01D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
486,Yes,The Recovery and use of Methane [Ch4] in Coal Mining With Particular Reference To Nova Scotia Conditions,"Cameron, A E, Nova Scotia Department of Mines and Energy;Cameron, E L, Nova Scotia Department of Mines and Energy",Open File Report ME 144,1963,14 page(s),0 map(s),,coal; economic geology; fossil fuels; methane; mines; Pennsylvanian,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
487,Yes,Heavy-media Sink and Float Tests on Nova Scotia Coals,"Flynn, A E, Nova Scotia Department of Mines and Energy",Open File Report ME 143,1945,4 page(s),0 map(s),,coal; coal tests; fossil fuels; Pennsylvanian,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
488,Yes,"Coal Cleaning and Briquetting, Franklin Mine, Bras d'Or, Cape Breton, Nova Scotia","Swartzman, E, Nova Scotia Department of Mines and Energy ",Open File Report ME 142,1953,3 page(s),0 map(s),,coal; economic geology; fossil fuels; Franklin Mine; mineral dressing processes; mines; Pennsylvanian,Bras d'Or; Cape Breton County; Cape Breton Island,11K/08B,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
491,Yes,The Adaptability of Dominion Coal Company Coal for Making Disco [Coke],"Lesher, C E, Nova Scotia Department of Mines and Energy ",Open File Report ME 141,1951,36 page(s),0 map(s),,bituminous coal; chemical analyses; coal; coal analyses; coal tests; coke; fossil fuels; geochemistry; milling methods; photographs; screen analyses,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
492,Yes,Extractive Coking Liquefaction Process,"Sullivan, D P, Nova Scotia Department of Mines;Starzomski, J J, Nova Scotia Research Foundation Corporation ",Open File Report ME 257,1977,60 page(s),0 map(s),,chemical analyses; coal; coal analyses; coal ash; coal hydrogenation; coal liquefaction; coke; fossil fuels; geochemistry; milling methods,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
494,Yes,"Palynological Studies and Petrography of Mabou Coals, Nova Scotia","Hacquebard, P A, Geological Survey of Canada ;Donaldson, J R, Geological Survey of Canada ;Barss, M S, Geological Survey of Canada ;Nova Scotia Department of Mines and Energy",Open File Report ME 368,1956,120 page(s),1 map(s),"study area location, scale: 1:4752000",chemical analyses; clarain; coal; coal analyses; coal ash; coal seams; correlations; drillholes; durain; Eight Foot Seam; Eleven Foot Seam; exinite; faults; Fifteen Foot Seam; Five Foot Seam; fossil distribution; fossil fuels; fusain; fusinite; geochemistry; gypsum; histograms; inertinite; maceral analyses; metallic minerals; micrinite; paleontology; palynology; Pennsylvanian; petrographic logs; petrography; petrology; photomicrographs; proximate analyses; sandstones; sclerotinite; semifusinite; Seven Foot Seam; Shale Mbr; spore comparisons; spore distributions; Spores; stratigraphy; structural geology; sulphur; vitrain; vitrinite,Cape Breton Island; Inverness County; Mabou; Mabou Coalfield,11K/03B; 11K/03C,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
501,No,"Review of Mines and Quarries Sector, Nova Scotia","Gregg, J M, Nova Scotia Department of Mines and Energy ",Open File Report ME 381,1978,86 page(s),1 map(s),"industrial mineral location, scale: 1:1013760",anhydrite; barite; barium; clays; coal; copper; drillholes; economic geology; fossil fuels; gas; gold; gypsum; industrial minerals; lead; limestones; metallic minerals; mineralization; mineralogy; mines; oil; ore reserves; peat; production; quarries; quartz; salt; sands; silver; zinc,Annapolis County; Antigonish County; Cape Breton County; Colchester County; Cumberland County; Guysborough County; Halifax County; Hants County; Inverness County; Nova Scotia; Pictou County; Richmond County,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
502,No,"Opencast Coal Reserves at Springhill, Nova Scotia","Ward, B, Wimpey Laboratories Limited;Nova Scotia Department of Mines and Energy",Open File Report ME 380,1979,282 page(s),3 map(s),"coal seam location, scale: 1:9600; drillhole location, scale: 1:9600; exploration activity location, scale: 1:9600; mineral potential, scale: 1:9600",carbon; Carboniferous; chemical analyses; coal; coal seams; conglomerates; copper; correlation sections; correlations; drill core geochemistry; drillhole logs; drillhole sections; drillholes; economic geology; fossil fuels; galena; geochemistry; iron; lead; metallic minerals; mineral exploration activities; mineral potential; mineralization; mineralogy; mining history; mining methods; mudstones; open pit mining; ore reserves; petrographic logs; petrography; proximate analyses; pyrite; radioactive minerals; sandstones; siltstones; slope stability; stratigraphy; sulphur; uranium; zinc,Cumberland County; Springhill; Springhill Coalfield,21H/09D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
506,Yes,Report on Minerals in Nova Scotia,"Campbell, C O, Maritime Exploration Limited ;Nova Scotia Department of Mines and Energy",Open File Report ME 356,1945,7 page(s),0 map(s),,barite; barium; coal; fossil fuels; gold; gypsum; industrial minerals; iron; lead; limestones; manganese; metallic minerals; mineral deposits; mineralization; mineralogy; Mississippian; salt; slates; vein deposits; Windsor Gp,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
526,No,Studies in the Springhill Coalfield,"Calder, J H, Nova Scotia Department of Mines and Energy;Naylor, R D, Nova Scotia Department of Mines and Energy",Information Series ME 005,1982,63,0 map(s),,coal; drillholes; faults; fossil fuels; Pennsylvanian; Rodney Seam; structural geology,Cumberland County; Springhill; Springhill Coalfield,21H/09; 21H/10; 21H/15; 21H/16,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Sixth Annual Open House and Review of Activities, Program and Summaries; 69 page(s)",,
527,No,Coal Exploration in the Sydney Coalfield in 1982,"MacNeil, D J, Nova Scotia Department of Mines and Energy",Information Series ME 005,1982,59-61,2 map(s),"study area location, scale: 1:150000",ash; coal; coal analyses; drillholes; economic geology; fossil fuels; Gardiner Seam; O'Dell Seam; ore reserves; Pennsylvanian; sulphur; Tracy Seam,Cape Breton County; Cape Breton Island; Sydney; Sydney Coalfield,11J/04; 11K/01; 11K/02; 11K/07; 11K/08,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Sixth Annual Open House and Review of Activities, Program and Summaries; 69 page(s)",,
546,No,Mineral Exploration Activity in Nova Scotia-1982,"McMullin, J M, Nova Scotia Department of Mines and Energy",Information Series ME 005,1982,05-Jan,1 map(s),"exploration activity location, scale: 1:2500000",barite; base metals; coal; fossil fuels; gas; gold; industrial minerals; limestones; metallic minerals; mineral exploration activities; potash; silica sands,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,"Sixth Annual Open House and Review of Activities, Program and Summaries; 69 page(s)",,
612,Yes,"Lead, Silver Mine, Cape Breton County, Nova Scotia. Summary Report on Geological Mapping and Soil and Stream Sediment Geochemical Surveys","Watson, I M, Phelps Dodge Corporation of Canada Limited;Phelps Dodge Corporation of Canada Limited",Assessment Report ME 11F/16B 27-C-83(10),1964,15 page(s),0 map(s),,Cambrian; Carboniferous; cerussite; chemical analyses; coal; conglomerates; correlations; depositional history; Devonian; faults; felsites; fossil fuels; Fourchu Gp; galena; Gaspereaux Lake Fault; geochemistry; Kelvin Glen Gp; Lake Uist Fault; lead; limestones; manganese; McDonald Lake Fault; metallic minerals; mineralization; mineralogy; mines; Mississippian; Pennsylvanian; photogeology; Precambrian; Salem Fault; sandstones; sedimentology; silver; Silver Mine; soil geochemistry; stratigraphy; stream sediment geochemistry; structural geology; synclines; Windsor Gp; Yava Mine; zinc,Cape Breton County; Cape Breton Island; Silver Mine,11F/16B,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
613,Yes,"Lead, Silver Mine, Cape Breton County, Nova Scotia. Summary Report on Geological and Topographic Mapping, Soil and Stream Sediment Geochemical Surveys, Magnetic and IP Surveys, Water Level Testing and Drilling","Mudford, R K, Phelps Dodge Corporation of Canada Limited;Phelps Dodge Corporation of Canada Limited",Assessment Report ME 11F/16B 27-C-83(09),1964,49 page(s),0 map(s),,"Cambrian; Carboniferous; chemical analyses; coal; conglomerates; depositional history; Devonian; drill core geochemistry; drillholes; faults; Fourchu Gp; galena; geochemistry; geophysics; gypsum; IP surveys; Kelvin Glen Gp; lead; magnetic surveys, ground; metallic minerals; mineralization; mineralogy; Mississippian; Pennsylvanian; Precambrian; pyrite; rhyolites; sandstones; sedimentology; shales; silver; Silver Mine; soil geochemistry; sphalerite; stratigraphic charts; stratigraphy; stream sediment geochemistry; structural geology; water levels; Windsor Gp",Cape Breton County; Cape Breton Island; Silver Mine,11F/16B,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
615,Yes,"Lead, Silver Mine, Cape Breton County, Nova Scotia. Report on Drilling Results","Watson, I M, Phelps Dodge Corporation of Canada Limited;Phelps Dodge Corporation of Canada Limited",Assessment Report ME 11F/16B 27-C-83(07),1963,20 page(s),17 map(s),"drill core geochemical, scale: 1:1200; drillhole location, scale: 1:2400; isopach, scale: 1:1200; ore distribution, scale: 1:1200",barite; Carboniferous; chalcopyrite; chemical analyses; coal; depositional history; drill core geochemistry; drillholes; economic geology; fossil fuels; galena; geochemistry; industrial minerals; limestones; metallic minerals; mineralization; mineralogy; Mississippian; ore grades; paragenesis; Pennsylvanian; pyrite; rhyolites; sandstones; sedimentology; shales; silver; Silver Mine; sphalerite; stratigraphic charts; stratigraphy; structural geology; Windsor Gp,Cape Breton County; Cape Breton Island; Silver Mine,11F/16B,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
616,Yes,"Lead, Silver Mine, Cape Breton County, Nova Scotia. Report on a Feasibility Study [5 000 Tons Per Day]","Hutchison, W A, Phelps Dodge Corporation of Canada Limited;Firth, D A, Phelps Dodge Corporation of Canada Limited;Phelps Dodge Corporation of Canada Limited",Assessment Report ME 11F/16B 27-C-83(06),1963,51 page(s),4 map(s),"drillhole location, scale: 1:1200; mine site plan, scale: 1:1200",barite; Carboniferous; chemical analyses; coal; cross-sections; drill core geochemistry; drillholes; economic geology; feasibility studies; fossil fuels; galena; geochemistry; industrial minerals; lead; metallic minerals; mine site development; mineralization; mineralogy; mining methods; mining properties; Mississippian; ore grades; ore reserves; Pennsylvanian; pyrite; sandstones; silver; Silver Mine; Windsor Gp,Cape Breton County; Cape Breton Island; Silver Mine,11F/15A; 11F/15D; 11F/16B; 11F/16C; 11F/16D; 11K/01A; 11K/01D,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
619,Yes,"The Yava Lead Deposit, Salmon River, Cape Breton, Exploration [1962-1981] and Mining Activities [1979-1981]","Bonham, O J H, Nova Scotia Department of Mines and Energy ;Doucet, N, Nova Scotia Department of Mines and Energy ;Johnson, F A, Nova Scotia Department of Mines and Energy ",Open File Report ME 529,1982,55 page(s),11 map(s),"drill core geochemical, scale: 1:3600; drillhole location, scale: 1:10000; geological, scale: 1:50000; mine level plan, scale: 1:3500; reserves, scale: 1:3600; study area location, scale: 1:5000",Canso Gp; Carboniferous; chemical analyses; coal; conglomerates; cross-sections; depositional history; drill core geochemistry; drillhole sections; drillholes; economic geology; engineering geology; environmental geology; epigenetic deposits; faults; fossil fuels; galena; geochemistry; lead; metallic minerals; metallogeny; milling methods; mineral deposits; mineral exploration activities; mineralization; mineralogy; mining history; mining methods; mining properties; Mississippian; ore reserves; paleotopography; Pennsylvanian; photographs; production; regional geology; Salmon River Mine; sandstones; sedimentology; shales; silver; sphalerite; stratiform deposits; stratigraphic charts; stratigraphy; structural geology; tailings; tailings disposal; waste management; Windsor Gp; Yava Mine; zinc,Cape Breton County; Cape Breton Island; Salmon River,11F/16C,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,,,
626,No,Report of the Energy Resources Division,"Potter, W G, Nova Scotia Department of Mines and Energy",Annual Report 1980,1981,71-72,0 map(s),,coal; fossil fuels; peat; petroleum,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Annual Report for 1980; 91 page(s),,
627,No,Report of the Energy Management Division,"French, J A, Nova Scotia Department of Mines and Energy",Annual Report 1980,1981,59-70,0 map(s),,coal; energy resources; engineering geology; fossil fuels; petroleum; pie charts,Nova Scotia,,,,,Contact NSDNR Library: (902) 424-8633; nsdnrlib@gov.ns.ca,,Annual Report for 1980; 91 page(s),,
